Date,Open,High,Low,Close,Adj Close,Volume
05-02-2016,889,903.450012,886.400024,899.25,865.142883,1739178
08-02-2016,903,907.5,886,888.599976,854.896729,783143
09-02-2016,884.900024,894.299988,878.5,884.200012,850.663696,636386
10-02-2016,888.5,889,866.5,876.549988,843.303894,707101
11-02-2016,874.75,874.75,852,855.700012,823.24469,1004015
12-02-2016,860,873.25,846.5,854.900024,822.475098,1089266
15-02-2016,866,872.200012,853,858.700012,826.13092,703958
16-02-2016,855.049988,860.150024,836.099976,840.299988,808.428711,985215
17-02-2016,844,858.950012,827.099976,856,823.533264,1171983
18-02-2016,862,863.799988,830.599976,835.25,803.570251,997874
19-02-2016,834.950012,856.900024,829,854.700012,822.282532,799360
22-02-2016,856,873.200012,854,870.849976,837.820068,609601
23-02-2016,871,879.900024,866.150024,877.099976,843.832947,1438921
24-02-2016,879,885.75,875,881.799988,848.354797,1289097
25-02-2016,880.5,884.900024,858.700012,861.700012,829.017029,1326303
26-02-2016,868,874,854.200012,862.549988,829.834778,536753
29-02-2016,864.099976,868.950012,841.599976,846.099976,814.008789,890886
01-03-2016,852.599976,874.650024,850,871.950012,838.878357,1161059
02-03-2016,876,880.950012,866.5,871.849976,838.782104,808137
03-03-2016,874.400024,896.5,871.75,880.25,846.863525,1061326
04-03-2016,886.599976,890.099976,858.400024,865.799988,832.961487,1039977
08-03-2016,867.900024,881.799988,858.049988,875.700012,842.486145,1174011
09-03-2016,876,888.799988,869.849976,876.200012,842.967102,1401934
10-03-2016,870,896,870,894.75,860.81366,810951
11-03-2016,900,903.700012,891.549988,898.349976,864.276917,1043602
14-03-2016,898,903.200012,888.599976,899.349976,865.239136,788258
15-03-2016,903,906.5,876.150024,884.599976,851.048523,954046
16-03-2016,880.299988,882,862.099976,864.900024,832.095703,1456263
17-03-2016,870,876,865.099976,872.549988,839.455505,965277
18-03-2016,871,877.900024,859.950012,875.349976,842.149353,1072444
21-03-2016,873.25,875,852.400024,859.650024,827.044922,1484160
22-03-2016,860,860,846.049988,853.349976,820.983765,1746522
23-03-2016,853.349976,856.900024,846.25,850,817.760925,917099
28-03-2016,850,857.450012,842.700012,845.400024,813.335266,1722071
29-03-2016,847.400024,860,845,856.099976,823.629517,1101097
30-03-2016,864,885,861.849976,881.849976,848.402893,1470782
31-03-2016,880.5,884.25,865.099976,868.400024,835.463074,1682214
01-04-2016,871,883.950012,865,870,837.002258,853331
04-04-2016,874,888.5,865.25,886.150024,852.539795,662760
05-04-2016,885.400024,885.400024,862,869.849976,836.85791,762479
06-04-2016,869.700012,875,860.650024,863.299988,830.556458,451307
07-04-2016,864,869,855.049988,858.25,825.697937,449770
08-04-2016,860,861.450012,849.599976,851.549988,819.252197,448087
11-04-2016,850,861.900024,842.75,860,827.381775,651373
12-04-2016,861.799988,870,859.5,866.900024,834.019775,433486
13-04-2016,870.5,876,866,874.349976,841.187378,692424
18-04-2016,884.25,886.549988,875,885.200012,851.625732,685762
20-04-2016,885,887.75,875.25,885.799988,852.203003,778272
21-04-2016,890,895,885.099976,889.150024,855.426086,702226
22-04-2016,885.700012,893.700012,869.400024,871.549988,838.493591,692414
25-04-2016,870.400024,870.400024,856,861.75,829.065125,587700
26-04-2016,864.200012,880,859.049988,876.900024,843.640564,694778
27-04-2016,875.700012,891,871,889.849976,856.099365,553126
28-04-2016,889.849976,894.5,870,873.099976,839.984619,1013142
29-04-2016,873,876,861.650024,866.25,833.394531,955985
02-05-2016,864,867.5,860.650024,864.799988,831.999573,199724
03-05-2016,869.5,886.900024,865.400024,872,838.926453,1073196
04-05-2016,872,879,864,873.599976,840.465698,469904
